第一章 雪婷镇
黑衣文士 以盗窃古墓财宝为生的人。
黑衣女子 一身紧身黑衣将其身体勾勒的曲线毕露，黑纱遮住了面容，但看那剪水双眸，已经足以勾魂
马倌 这是是客栈的马倌，正在悉心照料客人的马匹。
黑衣打手 一身黑衣的打手，脚下功夫还是有点的。
小偷 混迹在赌坊里的小偷。
张逍林 来洛阳游玩的游客，被困在银钩赌坊一段时间了。
玉娘 肌肤如白玉般晶莹的美人，不知道在这赌坊雅舍中等谁？
守园老人 守护牡丹园的老人。因为洛阳城地痞不少，所以这守园老人可不轻松。
赛牡丹 人称赛牡丹，自然是个美人儿啦~
鲁长老 鲁长老虽然武功算不得顶尖高手，可是在江湖上却颇有声望。因为他在丐帮中有仁有义，行事光明磊落，深得洪帮主的器重。
陈扒皮 据洛阳城中最小气的人，号称陈扒皮，意思是见了谁都想赚个小便宜。
卖花姑娘 她总是甜甜的微笑，让人不忍拒绝她篮子里的鲜花。
刘守财 洛阳城的财主，开了一家钱庄，家财万贯。
守城武将 一个守卫洛阳城的武将
李元帅 吃了败仗的元帅逃在此密室，却不知是为了什么。
疯狗 一只四处乱窜的疯狗，顶着一身脏兮兮的的毛发。
青竹蛇 一条全身翠绿的毒蛇，缠绕在竹枝上。
布衣老翁 一身布衣，面容慈祥的老人。
萧问天 虽然身居陋室，衣着朴素，眼神的锐利却让人不能忽视他的存在。
藏剑楼首领 一名看上去风度非凡之人，正背手闭目养神中好像等候什么。
剑遇北 一个身受重伤的布衣青年，手持一把染血的佩剑。

第三章 华山村
松鼠 一只在松林里觅食的小松鼠。
野兔 正在吃草的野兔。
泼皮 好吃懒做的无赖，整天无所事事，欺软怕硬。
小男孩 扎着双髻的小男孩，正在杏林里跟小伙伴们捉迷藏。
王老二 看起来跟普通村民没什么不同，但一双眼睛却透着狡黠。
村中地痞 村内地痞，人见人恶。
抠脚大汉 坐在土地面前抠脚的汉子
黑狗（庙内） 凶恶的黑狗，张开的大嘴露出锋利的獠牙。
青衣守卫 身穿青衣的守卫，武功招式看起来有些眼熟。
葛不光 四十岁左右的中年男子，颇为好色。
泼皮头子 好吃懒做的无赖，整天无所事事，欺软怕硬。
采花贼 声名狼藉的采花贼，一路潜逃来到了华山村。
冯铁匠 这名铁匠看上去年纪也不大，却是一副饱经沧桑的样子。
村民 身穿布衣的村民
朱老伯 一位德高望重的老人，须发已经全白。
方寡妇 颇有几分姿色的女子，是个寡妇。
剑大师 宗之潇洒美少年??举觞白眼望青天??皎如玉树临风前
方老板 平日行踪有些诡秘，看来杂货铺并不是他真正的营生。
跛脚汉子 衣着普通的中年男子，右脚有些跛。
云含笑 眸含秋水清波流盼，香娇玉嫩，秀靥艳比花娇，指如削葱根，口如含朱丹，一颦一笑动人心魂。
英白罗 这是华山派弟子，奉师命下山寻找游玩未归的小师妹。
黑狗（庙外） 一只黑色毛发的大狗。
刘三 这一代远近闻名的恶棍，欺男霸女无恶不作
曲姑娘 这是一名身穿翠绿衣裳的少女，皮肤白皙，脸蛋清秀可爱。
受伤的曲右使 他已经深受重伤，半躺在地上。
血尸 这是一具极为可怖的男子尸体，只见他周身肿胀，肌肤崩裂，眼角、鼻子、指甲缝里都沁出了鲜血，在这片美丽的花海里，这具尸体的出现实在诡异至极。
藏剑楼杀手 极为冷酷无情的男人，手上不知道沾满了多少无辜生命的鲜血。
毒蛇 一条色彩斑斓的毒蛇
丐帮长老 丐帮长老，衣衫褴褛，满头白发，看起来精神不错。
小狼 出来觅食的小狼
老狼 在山上觅食的老狼
土匪 清风寨土匪
土匪头目 清风寨土匪头目
玉牡丹 这是一名看不出年龄的男子，一身皮肤又白又细，宛如良质美玉，竟比闺门处子都要光滑细腻许多。若不是高大身材和脸颊上青色胡茬，他可能会让大多女子汗颜。
刘龟仙 清风寨军事，诡计多端。
萧独眼 清风寨二当家，一次劫镖时被刺伤一目，自此成了独眼龙。
刘寨主 清风寨寨主，对手下极为严厉。
米不为 一名青年男子，衣衫上血迹斑斑，奄奄一息的躺在地上。

第四章 华山
孙驼子 一面容猥琐可憎，让人不忍直视，脊背高高隆起的驼子。
吕子弦 青衣长袍的书生，前来华山游玩。
女弟子 她是华山派女弟子，不施脂粉，衣着素雅。
豪客 一名满脸彪悍之色的江湖豪客
游客 这是一名来华山游玩的中年男子，背着包裹。
公平子 这是一位仙风道骨的中年道人，早年云游四方，性好任侠，公正无私。
山贼 拦路抢劫的山贼
白二 山贼头目，看起来很强壮。
李铁嘴 李铁嘴是个买卜算卦的江湖术士，兼代客写书信、条幅。
赵辅徳 负责打理群仙观的老人
猿猴 华山上的猿猴，时常骚扰过路人
剑宗弟子 华山剑宗弟子
丛云弃 华山派传人，封剑羽的师弟。
尘无剑 他是华山控剑宗派的第一高手。
封剑羽 他是华山控剑宗派的第一高手。
大松鼠 一只在松林里觅食的小松鼠。
岳师妹 华山派掌门的爱女。她看起来十多岁，容貌秀丽，虽不是绝代美人，也别有一番可人之处。
六猴儿 六猴儿身材很瘦，又长的尖嘴猴腮的，但别看他其貌不扬，他在同门中排行第六，是华山派年轻一代中的好手。
令狐大师哥 他是华山派的大师兄，英气逼人。
风老前辈 这便是当年名震江湖的华山名宿。他身著青袍，神气抑郁脸如金纸。身材瘦长，眉宇间一直笼罩着一股淡淡的忧伤神色。
英黑罗 英白罗是岳不群的第八位弟子
魔教喽喽 日月神教小喽喽喽
卢大哥 日月神教教众
史老三 日月神教教众
闵老二 日月神教教众
戚老四 日月神教教众
葛长老 日月神教教众
小林子 气宗传人小林子，实力已是非同凡响。
高算盘 此人整天拿着算盘，身材高大，长得很胖，但别看他其貌不扬，他在同门中排行第五，是华山派年轻一代中的好手。
施剑客 同门中排行第四，是华山派年轻一代中的好手。
华山弟子 华山派门下的第子
蒙面剑客 手握长剑的蒙面人
黑衣人 戴着神秘的黑衣人，压低的帽檐遮住的他的面容。
岳掌门 华山掌门，他今年四十多岁，素以温文尔雅著称。
舒奇 华山派小弟子
小猴 这是一只调皮的小猴子，虽是畜牲，却喜欢模仿人样。
劳师兄 他就是华山排行第二的弟子。
宁女侠 华山派掌门的夫人，眉宇间还少不了年轻时的英气。
梁师兄 他就是华山排行第三的弟子。
陶钧 陶钧是岳不群的第七位弟子
林师弟 林师弟是华山众最小的一个弟子。
小尼姑 一个娇俏迷人的小尼姑。

第五章 扬州
官兵 守城的官兵，相貌可长得不好瞧。
花店伙计 花店的伙计，正忙碌地给花淋水。
大黑马 一匹受惊的大黑马，一路狂奔到了闹市街头。
铁匠 看起来很强壮的中年男子
双儿 柔善良，善解人意，乖巧聪慧，体贴贤惠，清秀可人，腼腆羞涩，似乎男人喜欢的品质都集中在她身上了。
黑狗子 扬州街头人见人恶的地痞，嘴角一颗黑色痦子，看起来极为可憎。
武馆护卫 一名武馆护卫，专门对付那些想混进来闹事的人。
武馆弟子 在武馆拜师学艺的弟子，看来还是会些基本功。
方不为 武馆管家，馆中大小事务都需要向他禀报。
王教头 一名武馆内的教头，专门负责教新手武功。
神秘客 一名四十岁左右的中年男子，脸上一道刀疤给他平添了些许沧桑。
范先生 武馆账房先生，为人极为谨慎，账房钥匙通常带在身上。
陈有德 这就是武馆馆主，紫金脸庞，面带威严，威武有力，站在那里就象是一座铁塔。
古三通 一名看起来和蔼的老人，手里拿着一个旱烟袋，据说跟馆主颇有渊源。
黄掌柜 这就是武馆馆主，紫金脸庞，面带威严，威武有力，站在那里就象是一座铁塔。
游客 来扬州游玩的游客，背上的包裹看起来有些重。
账房先生 满脸精明的中年男子，手里的算盘拨的飞快。
小飞贼 一个年级尚幼的飞贼。
飞贼 一身黑色劲装，黑巾蒙面，眼露凶光。
艺人 一名四海为家的卖艺人，满脸沧桑。
空空儿 一个满脸风霜之色的老乞丐。
马夫人 一名体格魁梧的妇人，看起来极为彪悍。
润玉 买花少女，手中的花篮里装着时令鲜花。
流氓 扬州城里的流氓，经常四处游荡，调戏妇女。
刘步飞 龙门镖局的镖师，正在武庙里祭拜。
马员外 马员外是扬州有名的善人，看起来有点郁郁不乐。
毒蛇 一条毒蛇草丛窜出，正昂首吐信虎视眈眈地盯著你。
扫地僧 一名看起来很普通的僧人
柳碧荷 来禅智寺上香的女子，颇有几分姿色。
张三 看起来很邋遢的道士，似乎有些功夫。
火工僧 禅智寺中专做杂事的火工僧，身体十分地强壮
书生 一个摇头晃脑正在吟诗的书生。
李丽君 女扮男装的女子，容颜清丽，孤身一身住在魁星阁的阁楼上。
小混混 扬州城里的小混混，整天无所事事，四处游荡。
北城门士兵 看守城门的士兵
青衣门卫 浅月楼门口的侍卫。
玉娇红 浅月楼的老板娘，看似年不过三十，也是一个颇有姿色的女子。她抬起眼来，黛眉轻扫，红唇轻启，嘴角勾起的那抹弧度仿佛还带着丝丝嘲讽。当她眼波一转，流露出的风情似可让人忘记一切。红色的外袍包裹着洁白细腻的肌肤，她每走一步，都要露出细白水嫩的小腿。脚上的银铃也随着步伐轻轻发出零零碎碎的声音。
赵明诚 当朝仆射，也是一代名士，致力于金石之学，幼而好之，终生不渝。
青楼小厮 这是一个青楼的小侍从，不过十五六岁。
苏小婉 名满天下的第一琴姬，苏小婉是那种文人梦中的红颜知己。这样美貌才智具备的女子，怕是世间几百年才能出现一位。曾有人替她惋惜，说如若她是一大家闺秀，或许也能寻得一志趣相投之人，也会有“赌书消得泼茶香”的美谈。即使她只是一贫家女子，不读书亦不学艺，纵使是貌胜西子，或许仍可安稳一生。然而命运时常戏弄人，偏偏让那如花美眷落入淤泥，误了那似水流年。本想为一人盛开，却被众人窥去了芳颜。可她只是微微一笑，说道：『寻一平凡男子，日出而作日落而息，相夫教子，如湮没于历史烟尘中的所有女子一般。那样的生活，不是我做不到，只是不愿意。没有燃烧过的，只是一堆黑色的粉末，哪里能叫做烟火？』
恶丐 看守城门的士兵
顽童 一个顽皮的小童。
唐老板 广陵当铺老板，肩宽体壮，看起来颇为威严。
云九天 他是大旗门的掌刑长老，最是严厉不过。
柳文君 茶社老板娘，扬州闻名的才女，姿色娇美，精通音律，善弹琴。许多文人墨客慕名前来，茶社总是客满为患。
茶社伙计 提着茶壶的伙计，目露精光，看起来不简单。
醉仙楼伙计 这是醉仙楼伙计，看起来有些功夫。
丰不为 一个常在酒楼混吃混喝的地痞，不知酒店老板为何不将他逐出。
张总管 一名中年男子，目露凶光。
计无施 一名剑眉星目的白衣剑客。
胡神医 这就是江湖中有名的胡神医，看起来很普通。
胖商人 一名衣着华丽，体态臃肿，手脚看起来极短的中年男子。
冼老板 醉仙楼老板，能将这家祖传老店买下来，其来历应该没那么简单。
赤练仙子 她生得极为美貌，但冰冷的目光让人不寒而栗。
白老板 玉器店老板，对珍宝古玩颇为熟稔。
衙役 扬州官衙衙役，看起来一脸疲态。
公孙岚 扬州官衙有名的神捕，据说曾经抓获不少江湖大盗。
程大人 扬州知府，脸色阴沉，微有怒色，
楚雄霸 江湖有名的江洋大盗，五短身材，貌不惊人。
朱先生 这就是当今大儒朱先生。
书生（书院） 一个摇头晃脑正在吟诗的书生。
少林恶僧 因嗜酒如命，故从少林叛出，顺便盗取些许经书以便拿来换酒。
船运东主 此人一身黝黑的皮肤，几道深深的岁月的沟壑在他脸上烙下了印记。深邃凹进的眼眶中显露出干练的眼神。显露出不凡的船上阅历。

第六章 丐帮
左全 这是位豪爽大方的丐帮七袋弟子，看来是个北地豪杰。
裘万家 这是位衣著邋塌，蓬头垢面的丐帮二袋弟子
梁长老 梁长老是丐帮出道最久，武功最高的长老，在武林中享名已久。丐帮武功向来较强，近来梁长老一力整顿，更是蒸蒸日上。
何一河 他是丐帮新近加入的弟子，可也一步步升到了五袋。他长的极其丑陋，脸上坑坑洼洼
莫不收 这是位衣著邋塌，蓬头垢面的丐帮三袋弟子。
藏剑楼统领 此人似乎是这群人的头目，正在叮嘱手下办事。
何不净 这是位衣著邋塌，蓬头垢面的丐帮七袋弟子
马俱为 这是位武艺精强，却沉默寡言的丐帮八袋弟子。
余洪兴 这是位笑眯眯的丐帮八袋弟子，生性多智，外号小吴用。

第七章 乔阴县
守城官兵 这是个正在这里站岗的守城官兵，虽然和许多武林人物比起来，官兵们的武功实在稀松平常，但是他们是有组织、有纪律的战士，谁也不轻易地招惹他们。
卖饼大叔 一个相貌朴实的卖饼大叔，憨厚的脸上挂著和蔼的笑容。
陆得财 陆得财是一个浑身脏兮兮的老丐，一副无精打采要死不活的样子，可是武林中人人都识得他身上打著二十三个结的皮酒囊，这不但是「花紫会」龙头的信物，更是名镇漠南的「黑水伏蛟」独门兵器，只不过陆得财行踪诡密，据说各处随时都有七、八的他的替身在四处活动，所以你也很难确定眼前这个陆得财到底是不是真的。
卖包子的 这个卖包子的小贩对你微微一笑，说道：热腾腾的包子，来一笼吧
武官 一位相貌威武的武官，独自一个人站在这里发呆，似乎正有什麽事困扰著他。
怪人 体型与小孩一般，脸上却满是皱纹，头发已经掉光。
汤掌柜 汤掌柜是这家大酒楼的主人，别看他只是一个小小的酒楼老板，乔阴县境内除了知县老爷以外，恐怕就属他最财大势大。
家丁 一个穿著家人服色的男子，必恭必敬地垂手站在一旁。
贵公子 一个相貌俊美的年轻贵公子正优雅地欣赏著窗外的景物。
酒楼守卫 一个身穿蓝布衣的人，从他锐利的眼神跟神情，显然是个练家子。
书生 一个看起来相当斯文的书生，正拿著一本书摇头晃脑地读著。
丫鬟 一个服侍有钱人家小姐的丫鬟，正无聊地玩弄著衣角。
官家小姐 一个看起来像是有钱人家的女子，正在这里游湖。
乾瘪老太婆 这个老太婆怀中抱了个竹篓，似乎在卖什麽东西，也许你可以跟她问问价钱？
妇人 一个衣饰华丽的妇人正跪在这里虔诚地膜拜著。
骆云舟 骆云舟本是世家公子，因喜爱诗酒剑法，不为家族中人所偏爱。因此他年少离家，常年在外漂泊，时至今日，倒是武有所成，在文学的造诣上，也是深不可测了。
藏剑楼长老 一名谈吐不凡的中年男子，备受手下尊崇
藏剑楼学者 此人文质彬彬，手持一本书册，正不断的翻阅似乎想在里面找到想要的答案。

第八章 峨眉山
白猿 这是一头全身白色毛发的猿猴。
文虚师太 她是峨眉派的“文”辈弟子。
看山弟子 一个女弟子，手上拿着一把长剑。
文寒师太 她是峨眉派的“文”辈弟子。
文玉师太 她是峨眉派的“文”辈弟子。
巡山弟子 一个拿着武器，有点气势的巡山弟子。
青书少侠 他今年二十岁，乃是武当第三代中出类拔萃的人物。
小女孩 这是个小女孩。
小贩 峨眉山上做点小生意的小贩。
静洪师太 她是峨眉派的“静”辈弟子。
静雨师太 她是峨眉派的“静”辈弟子。
女孩 这是个少女，虽然只有十二、三岁，身材已经开始发育。
尼姑 这是一个年轻尼姑，似乎有几手武功。
尼姑 这是一个年轻尼姑。
小尼姑 一个年纪赏小的尼姑。
静玄师太 她是峨眉派的“静”辈弟子。
贝锦瑟 她是峨嵋派的第四代俗家弟子。
毒蛇 一条剧毒的毒蛇。
护法弟子 她是一位年轻的师太。是灭绝石台座前的护法弟子。
护法大弟子 她是一位年轻的师太。是灭绝石台座前的护法弟子。
静慈师太 这是一位年纪不算很大的师太。
灭绝掌门 她是峨嵋派的第三代弟子，现任峨嵋派掌门人。
方碧翠 她是峨嵋派的第四代俗家弟子。
传令兵 钓鱼城派往长安求援的传令兵，行色匆匆，满面尘土。
运输兵 负责运送器械的士兵。
斥候 负责侦查敌情的军士
军械官 管理军械库的一位中年军官，健壮有力。
神箭手 钓鱼城守城大军的神箭手，百步穿杨，箭无虚发。
耶律霸 辽国皇族后裔，蒙古宰相耶律楚材之子，金狼军主帅。他骁勇善战，精通兵法，凭借着一手堪可开山破岳的好斧法杀得武林中人无人可挡闻之色变。视天波杨门为心腹之患欲处之而后快。
先锋军士 攻城大军的先锋军士，满脸凶狠，却也掩饰不住疲乏之色。
先锋敌将 攻城先锋大将，长期毫无进展的战事让他难掩烦躁。
赤豹死士 攻城大军的赤豹营死士，战力蛮横，重盔重甲，防御极好。
守城军士 守城的军士，英勇强悍，不畏生死。
黑鹰死士 攻城大军的黑鹰营死士，出手极准。
金狼死士 攻城大军将领的近身精锐。
金狼大将 攻城大将，曾是江湖上一等一的好手。
粮库主薄 管理粮库的军官，双眼炯炯有神，一丝一毫的细节都牢记于心。
参谋官 守军参谋军官，负责传递消息和提出作战意见。
王坚 钓鱼城守城大将，智勇双全，有条不紊地指挥着整座城市的防御工作。
藏剑楼剑客 此人手持长剑，正虎视眈眈的留神周围，准备伺机而动。

第九章 恒山
山盗 一个盘踞山林的盗匪。
秦卷帘 恒山派俗家弟子，脸上没有一丝表情，让人望而却步。
九戒大师 虽着一身袈裟，但一脸络腮胡让他看起来颇有些凶悍。
郑婉儿 恒山派俗家弟子，看起来清丽可人。
哑太婆 一身黑衣，头发虽已花白，但俏丽的容颜却让人忍不住多看两眼
云问天 身背行囊的游客，看起来会些功夫。
柳云烟 一身短装的女子，头戴纱帽，一张俏脸在面纱后若隐若现，让人忍不住想掀开面纱瞧个仔细。
石高达 一名身份可疑的男子，最近常在山上游荡。
公孙浩 一名行走五湖四海的游侠，看起来功夫还不错。
不可不戒 曾经是江湖上有名的采花大盗，被不戒和尚用药迷倒，剪掉了作案工具，剃度后收为徒弟。
山蛇 一条吐着红舌头的毒蛇
定云师太 恒山派白云庵庵主，外刚内和，脾气虽然暴躁，心地却极慈祥。
仪容 恒山派大弟子
仪雨 恒山派二弟子
小师太 恒山入门弟子
吸血蝙蝠 这是一只黑色的吸血蝙蝠
定安师太 恒山派掌门，心细如发，虽然平时极少出庵，但于江湖上各门各派的人物，无一不是了如指掌，其武功修为极高。
神教杀手 日月神教杀手，手段极其凶残。
魔教杀手 魔教杀手，一张黄脸让人过目难忘。
魔教头目 看起来风流倜傥的中年男子，魔教的小头目。
嵩山弟子 嵩山派弟子
赵志高 嵩山派高手，看起来颇有些修为。
司马承 嵩山派高手，看起来颇有些修为。
沙江龙 嵩山派高手，看起来颇有些修为。
史师兄 嵩山派大弟子，武功修为颇高。

第十章 武当山
土匪 这家伙满脸横肉一付凶神恶煞的模样，令人望而生畏。
土匪头 这家伙满脸杀气，一付凶神恶煞的模样，令人望而生畏。
王五 一位邋邋遢遢的道士。
野兔 一只好可爱的小野兔。
进香客 一位前往武当山进香的人。
青书少侠 他今年二十岁，乃是武当第三代中出类拔萃的人物。
知客道长 他是武当山的知客道长。
道童 他是武当山的小道童。
清虚道长 他就是清虚道长。他今年四十岁，主管武当派的俗事。
练功弟子 一位正在练功的青年弟子，但似乎很不耐烦。
宋首侠 他就是张三丰的大弟子、武当七侠之首。身穿一件干干净净的灰色道袍。他已年过六十，身材瘦长，满脸红光。恬淡冲和，沉默寡言。
俞莲舟 他就是张三丰的二弟子俞莲舟。他今年五十岁，身材魁梧，气度凝重。虽在武当七侠中排名第二，功夫却是最精。
张三丰 他就是武当派开山鼻祖、当今武林的泰山北斗，中华武功承先启后、继往开来的大宗师。身穿一件污秽的灰色道袍，不修边幅。身材高大，年满百岁，满脸红光，须眉皆白。
张松溪 他就是张三丰的四弟子张松溪。他今年四十岁，精明能干，以足智多谋著称。
小翠 这是个年年龄不大的小姑娘，但宽松的道袍也遮不住她过早发育的身体。一脸聪明乖巧，满口伶牙俐齿。见有人稍微示意，便过去加茶倒水。
俞二侠 服下丹药之后的他武功似乎提升了不少，实力不容小觑。
蜜蜂 这是一只蜜蜂，正忙着采蜜。
小蜜蜂 这是一只蜜蜂，正忙着采蜜。
猴子 这只猴子在在桃树间跳上跳下，还不时津津有味地啃几口着蜜桃。

第十一章 晚月庄
蝴蝶 一只翩翩起舞的小蝴蝶哦!
彩衣少女 小姑娘是晚月庄的女弟子，虽说身形单薄，可眼神里透出的傲气让人感到并不好欺负。
婢女 一名婢女，长的到也清秀。
蓝止萍 蓝止萍是一个十分出色的美女，她弹的一手琵琶更是闻名千里，许多王侯子弟，富商豪客都为她天下无双的美貌与琴艺倾倒。
蓝雨梅 蓝雨梅是晚月庄主蓝止萍的养女，由於庄主不信任男子，因此晚月庄接待外宾的工作向来由她负责。
芳绫 她看起来像个小灵精，头上梳两个小包包头。她坐在地上，看到你看她便向你作了个鬼脸!你想她一定是调皮才会在这受罚!
昭仪 她看起来非常可爱。身材玲珑有致，曲线苗条。第一眼印象，你觉的她舞蹈一定跳的不错，看她的一举一动有一种说不出的流畅优雅！
昭蓉 她长得十分漂亮！让你忍不住多瞧她几眼，从她身上你闻到淡淡的香气。她很有礼貌的向你点头，优雅的动作，轻盈的步伐，好美哦!
苗郁手 她看起来很有活力，两眼明亮有神。给你一种巾帼不让须眉的气势，但刚毅之中似又隐含著女孩子有的娇柔。
圆春 她是惜春的妹妹，跟姐姐从小就在晚月庄长大。因为与双亲失散，被庄主收留。平常帮忙庄内琐碎事务。
婢女 一名婢女，长的到也清秀。
惜春 她看起来成熟中带有一些稚气。飘逸的长发十分迷人。她是个孤儿，从小与妹妹圆春被庄主收留，她很聪明，在第四代弟子中算是武功很出色的一个。
凤凰 火神「凤凰」乃勇士寒於的魂魄所化成的十三个精灵之一。由於其奇异神迹，被晚月庄供奉为护庄神兽。
金仪彤 她国色天香，娇丽无伦；温柔娴静，秀绝人寰。可惜眉心上有一道地煞纹干犯紫斗，恐要玉手染血，浩劫武林。
瑷伦 她已是步入老年，但仍风采依旧。
曲馥琪 她国色天香，娇丽无伦；温柔娴静，秀绝人寰。她姿容绝美，世所罕见。从她身旁你闻道一寒谷幽香。
陈子昂 一个狂放书生，显是出自豪富之家，轻财好施，慷慨任侠。
小贩 这小贩左手提着个篮子，右手提着个酒壶。篮上系着铜铃，不住叮铛作响。
酒肉和尚 这是一个僧不僧俗不俗，满头乱发的怪人
梦玉楼 一个风尘仆仆的侠客。。
安妮儿 无描述
虞琼衣 无描述
龙韶吟 无描述
阮欣郁 无描述

第十二章 水烟阁
天邪虎 这是一只天邪派的灵兽「天邪虎」，火红的毛皮上有著如白银般的白纹，湛蓝色的眼珠中散发出妖异的光芒。
水烟阁武士 这是一个水烟阁武士。
董老头 於兰天武的亲兵，追随於兰天武多年，如今隐居于水烟阁，继续保护王爷
水烟阁红衣武士 这个人身著红色水烟阁武士服色，眼神十分锐利。
水烟阁司事 这个人看起来十分和蔼可亲，一双眼睛炯炯有神。
萧辟尘 萧辟尘自幼生长於岚城之中，看起来仙风道骨，不食人间烟火。
潘军禅 潘军禅是当今武林的一位传奇性人物，以他仅仅二十八岁的年龄竟能做到水烟阁执法使的职位，著实是一位不简单的人物。潘军禅是封山剑派掌门柳淳风的结拜义弟，但是他为人其实十分风趣，又好交朋友，丝毫不会摆出武林执法者的架子。
於兰天武 於兰天武是当今皇上的叔父，但是他毕生浸淫武学，甘愿抛弃荣华富以换取水烟阁传功使一职，以便阅读水烟阁中所藏的武学典籍，无论你有什麽武学上的疑难，他都能为你解答。

第十三章 少林寺
山猪 黑色山猪，披着一身刚硬的鬃毛。
田鼠 一只脏兮兮的田鼠，正在田间觅食。
僧人 少林寺僧人，负责看守山门。
乔三槐 勤劳朴实的山民，皮肤黝黑粗糙。
小孩 一个农家小孩，不知道在这里干什么。
扫地和尚 一名年轻僧人，身穿灰色僧衣。
挑水僧 一名年轻僧人，身穿灰色僧衣。
洒水僧 一名年轻僧人，身穿灰色僧衣。
青松 天真无邪的小沙弥
